ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
UGA,Central,652297,Total fertility rate 15-49,6.9,1,UG,Uganda,1988,UG1988DHS,FE_FRTR_W_TFR,11763080,I,452001,1452010,Region,Central,0,,0,1,FEFRTRWTFR,UGDHS1988452001,1988-89,DHS,,,,,
UGA,Eastern,645144,Total fertility rate 15-49,7.5,1,UG,Uganda,1988,UG1988DHS,FE_FRTR_W_TFR,11763080,I,452005,1452050,Region,Eastern,0,,0,1,FEFRTRWTFR,UGDHS1988452005,1988-89,DHS,,,,,
UGA,Northern,645191,Total fertility rate 15-49,7.4,1,UG,Uganda,1988,UG1988DHS,FE_FRTR_W_TFR,11763080,I,452008,1452080,Region,Northern,0,,0,1,FEFRTRWTFR,UGDHS1988452008,1988-89,DHS,,,,,
UGA,Western,645154,Total fertility rate 15-49,7.8,1,UG,Uganda,1988,UG1988DHS,FE_FRTR_W_TFR,11763080,I,452013,1452130,Region,Western,0,,0,1,FEFRTRWTFR,UGDHS1988452013,1988-89,DHS,,,,,
UGA,Central,5445666,Married women currently using any method of contraception,8,1,UG,Uganda,1988,UG1988DHS,FP_CUSM_W_ANY,32633010,I,452001,1452010,Region,Central,0,,0,1,FPCUSMWANY,UGDHS1988452001,1988-89,DHS,928,1167,,,
UGA,Eastern,6583801,Married women currently using any method of contraception,3.5,1,UG,Uganda,1988,UG1988DHS,FP_CUSM_W_ANY,32633010,I,452005,1452050,Region,Eastern,0,,0,1,FPCUSMWANY,UGDHS1988452005,1988-89,DHS,979,639,,,
UGA,Northern,6442109,Married women currently using any method of contraception,0.8,1,UG,Uganda,1988,UG1988DHS,FP_CUSM_W_ANY,32633010,I,452008,1452080,Region,Northern,0,,0,1,FPCUSMWANY,UGDHS1988452008,1988-89,DHS,194,118,,,
UGA,Western,2187548,Married women currently using any method of contraception,4.2,1,UG,Uganda,1988,UG1988DHS,FP_CUSM_W_ANY,32633010,I,452013,1452130,Region,Western,0,,0,1,FPCUSMWANY,UGDHS1988452013,1988-89,DHS,1080,1131,,,
UGA,Central,5445669,Married women currently using any modern method of contraception,4.9,1,UG,Uganda,1988,UG1988DHS,FP_CUSM_W_MOD,32633020,I,452001,1452010,Region,Central,0,,0,1,FPCUSMWMOD,UGDHS1988452001,1988-89,DHS,928,1167,,,
